school,page_type,stage,source_url,priority,need_dynamic,latest_status,latest_http_status,latest_title,latest_final_url,latest_crawled_at,latest_raw_file,latest_content_type,latest_char_count,usable_status,usable_title,usable_final_url,usable_crawled_at,usable_raw_file,usable_content_type,usable_char_count,attempt_count,success_count,last_success_at,raw_file_exists,needs_attention,attention_reason,latest_error
CUHK,accommodation,housing,https://www.gs.cuhk.edu.hk/admissions/campus-support,1,no,success,200.0,Campus Support | CUHK Graduate School,https://www.gs.cuhk.edu.hk/admissions/campus-support,2026-06-25T15:27:17+00:00,data/raw_pages/cuhk__accommodation__35b0b3c904.txt,text/html,6054,success,Campus Support | CUHK Graduate School,https://www.gs.cuhk.edu.hk/admissions/campus-support,2026-06-25T15:27:17+00:00,data/raw_pages/cuhk__accommodation__35b0b3c904.txt,text/html,6054,1,1,2026-06-25T15:27:17+00:00,yes,no,,
CUHK,admitted_student,offer_acceptance,https://www.gs.cuhk.edu.hk/admissions,1,no,success,200.0,Prospective Students | CUHK Graduate School,https://www.gs.cuhk.edu.hk/admissions,2026-06-25T15:27:11+00:00,data/raw_pages/cuhk__admitted_student__64ca8bf2b6.txt,text/html,8466,success,Prospective Students | CUHK Graduate School,https://www.gs.cuhk.edu.hk/admissions,2026-06-25T15:27:11+00:00,data/raw_pages/cuhk__admitted_student__64ca8bf2b6.txt,text/html,8466,1,1,2026-06-25T15:27:11+00:00,yes,no,,
CUHK,registration,registration,https://www.gs.cuhk.edu.hk/registration/how-to-register,1,no,success,200.0,How to Register | CUHK Graduate School,https://www.gs.cuhk.edu.hk/registration/how-to-register,2026-06-25T15:27:17+00:00,data/raw_pages/cuhk__registration__88e2339976.txt,text/html,2860,success,How to Register | CUHK Graduate School,https://www.gs.cuhk.edu.hk/registration/how-to-register,2026-06-25T15:27:17+00:00,data/raw_pages/cuhk__registration__88e2339976.txt,text/html,2860,1,1,2026-06-25T15:27:17+00:00,yes,no,,
CUHK,visa,visa,https://www.gs.cuhk.edu.hk/registration/visa-application,1,no,success,200.0,Visa Application | CUHK Graduate School,https://www.gs.cuhk.edu.hk/registration/visa-application,2026-06-25T15:27:16+00:00,data/raw_pages/cuhk__visa__100382c5a1.txt,text/html,7485,success,Visa Application | CUHK Graduate School,https://www.gs.cuhk.edu.hk/registration/visa-application,2026-06-25T15:27:16+00:00,data/raw_pages/cuhk__visa__100382c5a1.txt,text/html,7485,1,1,2026-06-25T15:27:16+00:00,yes,no,,
CUHK,faq,general,https://www.gs.cuhk.edu.hk/admissions/faqs,2,no,success_dynamic,200.0,FAQ | CUHK Graduate School,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29T15:13:28+00:00,data/raw_pages/cuhk__faq__63d14d2352.txt,text/html,20168,success_dynamic,FAQ | CUHK Graduate School,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29T15:13:28+00:00,data/raw_pages/cuhk__faq__63d14d2352.txt,text/html,20168,3,3,2026-06-29T15:13:28+00:00,yes,no,,expanded_clicks=4; before_chars=18309; after_visible_chars=18309
CUHK,orientation,orientation,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,2,no,success,200.0,Preparation for New Academic Year (2025-26) | CUHK Graduate School,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,2026-06-25T15:27:19+00:00,data/raw_pages/cuhk__orientation__087bab22a6.txt,text/html,10033,success,Preparation for New Academic Year (2025-26) | CUHK Graduate School,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,2026-06-25T15:27:19+00:00,data/raw_pages/cuhk__orientation__087bab22a6.txt,text/html,10033,1,1,2026-06-25T15:27:19+00:00,yes,no,,
CUHK,tuition,payment,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,2,no,success,200.0,Preparation for New Academic Year (2025-26) | CUHK Graduate School,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,2026-06-25T15:27:20+00:00,data/raw_pages/cuhk__tuition__087bab22a6.txt,text/html,10033,success,Preparation for New Academic Year (2025-26) | CUHK Graduate School,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,2026-06-25T15:27:20+00:00,data/raw_pages/cuhk__tuition__087bab22a6.txt,text/html,10033,1,1,2026-06-25T15:27:20+00:00,yes,no,,
CityU,accommodation,housing,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,1,yes,success_dynamic,200.0,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,2026-06-29T00:45:16+00:00,data/raw_pages/cityu__accommodation__fff57ce952.txt,text/html,5595,success_dynamic,Hall Residence for CityUHK Full-time Master’s Degree Students in 2026/27 | Student Residence Office | City University of Hong Kong,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,2026-06-29T00:45:16+00:00,data/raw_pages/cityu__accommodation__fff57ce952.txt,text/html,5595,2,1,2026-06-29T00:45:16+00:00,yes,no,,
CityU,admitted_student,offer_acceptance,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,1,yes,success_dynamic,200.0,Master's Programmes : Introduction | CityUHK Postgraduate Admissions,https://www.cityu.edu.hk/en/pg/taught-postgraduate-programmes/introduction,2026-06-29T00:44:42+00:00,data/raw_pages/cityu__admitted_student__2e71d68c28.txt,text/html,2483,success_dynamic,Master's Programmes : Introduction | CityUHK Postgraduate Admissions,https://www.cityu.edu.hk/en/pg/taught-postgraduate-programmes/introduction,2026-06-29T00:44:42+00:00,data/raw_pages/cityu__admitted_student__2e71d68c28.txt,text/html,2483,2,1,2026-06-29T00:44:42+00:00,yes,no,,
CityU,registration,registration,https://www.cityu.edu.hk/arro/,1,yes,success_dynamic,200.0,Academic Regulations and Records Office,https://www.cityu.edu.hk/arro/,2026-06-29T00:45:37+00:00,data/raw_pages/cityu__registration__1fecbe0a2a.txt,text/html,3673,success_dynamic,Academic Regulations and Records Office,https://www.cityu.edu.hk/arro/,2026-06-29T00:45:37+00:00,data/raw_pages/cityu__registration__1fecbe0a2a.txt,text/html,3673,2,1,2026-06-29T00:45:37+00:00,yes,no,,
