school,page_type,stage,source_url,latest_status,usable_status,latest_char_count,usable_char_count,raw_file_exists,chunk_count,faq_count,task_count,coverage_level,needs_attention,notes
CUHK,accommodation,housing,https://www.gs.cuhk.edu.hk/admissions/campus-support,success,success,6054,6054,yes,11,0,1,ok,no,
CUHK,admitted_student,offer_acceptance,https://www.gs.cuhk.edu.hk/admissions,success,success,8466,8466,yes,12,0,3,ok,no,
CUHK,registration,registration,https://www.gs.cuhk.edu.hk/registration/how-to-register,success,success,2860,2860,yes,4,0,1,ok,no,
CUHK,visa,visa,https://www.gs.cuhk.edu.hk/registration/visa-application,success,success,7485,7485,yes,11,0,1,ok,no,
CUHK,faq,general,https://www.gs.cuhk.edu.hk/admissions/faqs,success_dynamic,success_dynamic,20168,20168,yes,30,51,0,ok,no,
CUHK,orientation,orientation,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,success,success,10033,10033,yes,15,0,1,ok,no,
CUHK,tuition,payment,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,success,success,10033,10033,yes,15,0,1,ok,no,
CityU,accommodation,housing,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,success_dynamic,success_dynamic,5595,5595,yes,8,0,1,ok,no,
CityU,admitted_student,offer_acceptance,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,success_dynamic,success_dynamic,2483,2483,yes,4,0,3,ok,no,
CityU,registration,registration,https://www.cityu.edu.hk/arro/,success_dynamic,success_dynamic,3673,3673,yes,5,0,1,ok,no,
CityU,visa,visa,https://www.cityu.edu.hk/geo/non-local-students/visa,success_dynamic,success_dynamic,8197,8197,yes,12,0,1,ok,no,
CityU,faq,general,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,success_dynamic,success_dynamic,41719,41719,yes,63,60,0,ok,no,
CityU,orientation,orientation,https://www.cityu.edu.hk/orientation/event/postgraduate-student-orientation,success_dynamic,success_dynamic,2694,2694,yes,4,0,1,ok,no,
CityU,tuition,payment,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,success_dynamic,success_dynamic,2483,2483,yes,4,0,1,ok,no,
EdUHK,accommodation,housing,https://gs.eduhk.hk/prospective/information-for-non-local-student/,success_dynamic,success_dynamic,1276,1276,yes,2,1,1,ok,no,
EdUHK,admitted_student,offer_acceptance,https://gs.eduhk.hk/prospective/after-getting-an-offer/,success,success,2047,2047,yes,3,0,3,ok,no,
EdUHK,registration,registration,https://gs.eduhk.hk/prospective/after-getting-an-offer/,success,success,2047,2047,yes,3,0,1,ok,no,
EdUHK,tuition,payment,https://gs.eduhk.hk/pg-programmes-2026/application-admission.html,success,success,19879,19879,yes,31,0,1,ok,no,
EdUHK,visa,visa,https://gs.eduhk.hk/prospective/information-for-non-local-student/,success_dynamic,success_dynamic,1276,1276,yes,2,1,1,ok,no,
EdUHK,faq,general,https://gs.eduhk.hk/prospective/information-for-non-local-student/,success_dynamic,success_dynamic,1276,1276,yes,2,1,0,ok,no,
EdUHK,orientation,orientation,https://gs.eduhk.hk/current/student-support/,success,success,8415,8415,yes,13,0,1,ok,no,
HKBU,admitted_student,offer_acceptance,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,success,success,6163,6163,yes,8,0,3,ok,no,
HKBU,registration,registration,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-registration-for-newly-admitted-students,success,success,8119,8119,yes,11,0,1,ok,no,
HKBU,tuition,payment,https://ar.hkbu.edu.hk/tpg-studies/current-students/academic-requirements/tuition-fees,success,success,5136,5136,yes,7,0,1,ok,no,
HKBU,visa,visa,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-student-visa-application,success,success,7791,7791,yes,11,0,1,ok,no,
HKBU,accommodation,housing,https://sa.hkbu.edu.hk/en/accm/on-campus-accommodation/apply-for-pg-accommodation/non-local-taught-postgraduate-students.html,success,success,3807,3807,yes,5,0,1,ok,no,
